,ID,Title,Year,Rating,IMDb,Rotten Tomatoes,Genre,Netflix,Amazon Prime Video
4425,4426,Thillu Mullu,1981,,8.6,50,Romance,0,1
4438,4439,Virus,2019,,7.9,55,Thriller,0,1
4444,4445,Don,1978,,7.8,58,Thriller,0,1
4462,4463,Jigarthanda,2014,13+,8.3,61,Thriller,0,1
4593,4594,Summer Pasture,2011,,7.8,56,Biography,0,1
4640,4641,The Bishop's Wife,1947,,7.6,77,Comedy,0,1
4671,4672,Crime After Crime,2011,,7.6,61,Crime,0,1
4717,4718,Waco: The Rules of Engagement,1997,13+,7.9,73,Documentary,0,1
4769,4770,20.000 Days on Earth,2014,,7.5,75,Drama,0,1
4977,4978,Amar Prem,1972,all,8.2,52,Romance,0,1
5007,5008,Ek Hasina Thi,2004,,7.5,51,Thriller,0,1
5057,5058,Valley Uprising,2014,,8.1,63,Action & Adventure,0,1
5181,5182,Jab We Met,2007,13+,7.9,65,Comedy,0,1
5203,5204,Johnny Gaddaar,2007,,7.8,59,Crime,0,1
5226,5227,Vada Chennai,2018,,8.5,59,Crime,0,1
5245,5246,The Man Who Saved the World,2014,,7.6,65,Documentary,0,1
5251,5252,Classic Albums: Nirvana - Nevermind,2005,13+,7.9,50,Documentary,0,1
5252,5253,This Old Cub,2004,,8.5,61,Documentary,0,1
5265,5266,Mourning Son,2015,,8.0,53,Documentary,0,1
5282,5283,Wild Combination: A Portrait of Arthur Russell,2008,,7.5,64,Documentary,0,1
5284,5285,Inside Hana's Suitcase,2009,,7.7,58,Documentary,0,1
5341,5342,Go Grandriders,2012,,7.5,59,Family,0,1
5363,5364,Seethamma Vakitlo Sirimalle Chettu,2013,all,7.5,50,Family,0,1
5599,5600,A Chinese Ghost Story,1987,,7.5,71,Action & Adventure,0,1
5618,5619,The Snowman,1982,all,8.2,80,Action & Adventure,0,1
5623,5624,Urusei Yatsura 2: Beautiful Dreamer,1984,,7.5,57,Action & Adventure,0,1
5634,5635,RWBY: Volume 3,2016,13+,8.7,51,Animation,0,1
5644,5645,George Carlin: Life Is Worth Losing,2005,18+,8.3,61,Comedy,0,1
5675,5676,George Carlin: It's Bad for Ya!,2008,,8.6,60,Comedy,0,1
5696,5697,Battles Without Honor and Humanity,1973,,7.5,59,Crime,0,1
5706,5707,Manorama Six Feet Under,2007,18+,7.6,56,Crime,0,1
5742,5743,Ray Harryhausen: Special Effects Titan,2011,7+,7.6,67,Documentary,0,1
5752,5753,Desert Runners,2013,13+,7.6,51,Documentary,0,1
5792,5793,Los Olvidados,1950,,8.3,67,Drama,0,1
5831,5832,Summer Pasture,2011,,7.8,56,Family,0,1
5928,5929,Goodachari,2018,,7.8,56,Mystery,0,1
6045,6046,Maanagaram,2017,,8.1,55,Thriller,0,1
6062,6063,Roja,1992,,8.2,58,Thriller,0,1
6082,6083,The 36th Chamber of Shaolin,1978,18+,7.7,65,Action & Adventure,0,1
6135,6136,Sholay,1975,,8.2,80,Comedy,0,1
6143,6144,Welcome to Dongmakgol,2005,,7.7,71,Comedy,0,1
6196,6197,Alien Boy: The Life and Death of James Chasse,2013,,8.2,64,Crime,0,1
6224,6225,SlingShot,2014,,7.7,58,Documentary,0,1
6226,6227,What Remains,2005,,7.9,51,Documentary,0,1
6279,6280,Hindi Medium,2017,,7.8,75,Drama,0,1
6297,6298,Embrace of the Serpent,2015,,7.9,80,Drama,0,1
6322,6323,Hearing Is Believing,2017,all,8.2,54,Family,0,1
6542,6543,Meru,2015,16+,7.7,80,Action & Adventure,0,1
6633,6634,Newton,2017,,7.7,60,Comedy,0,1
6638,6639,Battles Without Honor and Humanity: Deadly Fight in Hiroshima,1973,,7.6,54,Crime,0,1
6649,6650,Jallikattu,2019,,7.5,63,Crime,0,1
6684,6685,Hesburgh,2019,,7.7,61,Documentary,0,1
6715,6716,Return to Homs,2013,13+,7.7,64,Documentary,0,1
6739,6740,Third Star,2010,,7.5,65,Drama,0,1
6756,6757,The Bishop's Wife,1947,,7.6,77,Drama,0,1
6974,6975,Helen,2019,,7.7,54,Thriller,0,1
7028,7029,Andaz Apna Apna,1994,7+,8.2,67,Action & Adventure,0,1
7068,7069,George Carlin: Doin' it Again,1990,18+,8.4,59,Comedy,0,1
7082,7083,Eat Drink Man Woman,1994,13+,7.8,77,Comedy,0,1
7090,7091,Hera Pheri,2000,,8.2,59,Comedy,0,1
7094,7095,Bourek,2016,,7.5,51,Comedy,0,1
7112,7113,Wrinkles,2011,,7.6,70,Comedy,0,1
7116,7117,Sarkar,2005,7+,7.6,59,Crime,0,1
7124,7125,Theeran Adhigaaram Ondru,2017,18+,8.2,61,Crime,0,1
7145,7146,Mourning Son,2015,,8.0,53,Crime,0,1
7254,7255,A Place in the Sun,1951,,7.8,77,Drama,0,1
7337,7338,Wrong Side Raju,2016,,7.9,50,Mystery,0,1
7443,7444,Titli,2015,,7.6,70,Thriller,0,1
7486,7487,Embrace of the Serpent,2015,,7.9,80,Action & Adventure,0,1
7522,7523,Jeff Dunham: Jeff Dunham's Very Special Christmas Special,2008,13+,7.5,59,Comedy,0,1
7536,7537,George Carlin: You Are All Diseased,1999,18+,8.6,63,Comedy,0,1
7552,7553,Agent Sai Srinivasa Athreya,2019,,8.4,57,Comedy,0,1
7560,7561,Jeff Dunham: Spark of Insanity,2007,13+,8.0,63,Comedy,0,1
7578,7579,Don,1978,,7.8,58,Crime,0,1
7614,7615,Ek Hasina Thi,2004,,7.5,51,Crime,0,1
7636,7637,Big Sonia,2017,,7.6,65,Documentary,0,1
7645,7646,Uncovered: The War on Iraq,2004,,7.5,54,Documentary,0,1
7646,7647,In the Year of the Pig,1969,7+,7.5,55,Documentary,0,1
7660,7661,Neurons to Nirvana,2013,,7.7,52,Documentary,0,1
7672,7673,Fitzcarraldo,1982,7+,8.1,80,Drama,0,1
7684,7685,Square One,2019,,7.8,59,Drama,0,1
7699,7700,Jab We Met,2007,13+,7.9,65,Drama,0,1
7858,7859,Irumbu Thirai,2018,all,7.7,54,Thriller,0,1
7907,7908,Digimon Adventure tri. Part 2: Determination,2016,,7.5,50,Action & Adventure,0,1
7918,7919,Fitzcarraldo,1982,7+,8.1,80,Action & Adventure,0,1
7924,7925,Kirikou and the Sorceress,1998,,7.5,77,Action & Adventure,0,1
7964,7965,A Room for Romeo Brass,1999,18+,7.6,68,Comedy,0,1
7970,7971,Mike Birbiglia: What I Should Have Said Was Nothing,2008,,7.6,52,Comedy,0,1
7975,7976,Jeff Dunham: Arguing with Myself,2006,13+,8.0,58,Comedy,0,1
8055,8056,Scotch: A Golden Dream,2018,,7.5,62,Documentary,0,1
8060,8061,We Are Together,2006,7+,7.6,59,Documentary,0,1
8062,8063,Shadow Company,2006,13+,7.6,62,Documentary,0,1
8067,8068,Mystic India,2005,,7.7,59,Documentary,0,1
8119,8120,Gracie's Choice,2004,7+,7.5,56,Drama,0,1
8132,8133,Invisible Life,2019,18+,7.8,77,Drama,0,1
8247,8248,Joseph,2018,,8.1,55,Thriller,0,1
8251,8252,Anukokunda Oka Roju,2005,,8.0,52,Thriller,0,1
8268,8269,Goodachari,2018,,7.8,56,Thriller,0,1
8361,8362,Mondays in the Sun,2002,18+,7.6,71,Comedy,0,1
8370,8371,Hum Aapke Hain Koun..!,1994,,7.5,60,Comedy,0,1
8373,8374,Kathleen Madigan: Gone Madigan,2010,,7.5,50,Comedy,0,1
8379,8380,Vazhakku Enn 18/9,2012,,8.3,52,Crime,0,1
8438,8439,A Good Day to Die,2010,,7.9,50,Documentary,0,1
8445,8446,Legends of the Knight,2013,,7.9,50,Documentary,0,1
8505,8506,Stevie,2002,18+,7.8,70,Drama,0,1
8628,8629,Sholay,1975,,8.2,80,Action & Adventure,0,1
8638,8639,Always,2011,,7.8,58,Action & Adventure,0,1
8666,8667,Tom Segura: Completely Normal,2014,,7.8,55,Comedy,0,1
8678,8679,Doug Stanhope: No Refunds,2007,18+,8.2,50,Comedy,0,1
8779,8780,Trash Dance,2012,,7.5,57,Documentary,0,1
8824,8825,Sholay,1975,,8.2,80,Drama,0,1
8829,8830,The Little Foxes,1941,,8.0,77,Drama,0,1
8833,8834,Ju Dou,1990,13+,7.6,75,Drama,0,1
8835,8836,Welcome to Dongmakgol,2005,,7.7,71,Drama,0,1
8839,8840,The Resurrection of Jake the Snake,2015,,7.9,59,Drama,0,1
8953,8954,Lost Soul: The Doomed Journey of Richard Stanley's “Island of Dr. Moreau”,2014,,7.5,73,Action & Adventure,0,1
8968,8969,Maidentrip,2014,,7.5,71,Action & Adventure,0,1
8989,8990,Hera Pheri,2000,,8.2,59,Action & Adventure,0,1
9010,9011,Eega,2012,,7.7,61,Comedy,0,1
9022,9023,Only Old Men Are Going to Battle,1973,all,8.4,57,Comedy,0,1
9082,9083,Titli,2015,,7.6,70,Crime,0,1
9091,9092,Dominick Dunne: After the Party,2008,,7.5,58,Documentary,0,1
9145,9146,Always,2011,,7.8,58,Drama,0,1
9181,9182,Baazigar,1993,13+,7.7,60,Drama,0,1
9246,9247,The Hours Till Daylight,2016,,7.6,53,Thriller,0,1
9269,9270,Jagte Raho,1956,,8.3,51,Thriller,0,1
9319,9320,Agent Sai Srinivasa Athreya,2019,,8.4,57,Action & Adventure,0,1
9339,9340,Sebastian Maniscalco: Aren't You Embarrassed?,2014,18+,7.8,54,Comedy,0,1
9400,9401,Irumbu Thirai,2018,all,7.7,54,Crime,0,1
9438,9439,Superstar in a Housedress: The Life and Legend of Jackie Curtis,2004,,7.5,59,Documentary,0,1
9453,9454,Lunch,2012,,7.5,54,Documentary,0,1
9457,9458,The Beckoning Silence,2007,7+,7.5,52,Documentary,0,1
9466,9467,On Any Sunday,1971,all,7.8,68,Documentary,0,1
9470,9471,The Good Soldier,2009,,8.3,56,Documentary,0,1
9480,9481,Any Day Now,2012,18+,7.5,71,Drama,0,1
9517,9518,Newton,2017,,7.7,60,Drama,0,1
9606,9607,Wrong Side Raju,2016,,7.9,50,Thriller,0,1
9610,9611,If so,2003,all,8.1,50,Thriller,0,1
9622,9623,The Mountain II,2016,all,8.8,73,Action & Adventure,0,1
9654,9655,Caliber 9,1972,,7.5,58,Action & Adventure,0,1
9669,9670,George Carlin: Carlin on Campus,1984,,8.1,51,Comedy,0,1
9678,9679,George Carlin: Complaints & Grievances,2001,,8.5,56,Comedy,0,1
9746,9747,Maachis,1996,all,7.8,51,Crime,0,1
9760,9761,Disorder in the Court,1936,,8.1,55,Crime,0,1
9765,9766,Nicky's Family,2011,,8.0,61,Documentary,0,1
9780,9781,The Good Soldier,2009,,8.3,56,Documentary,0,1
9796,9797,The Chinese Mayor,2015,,7.7,61,Documentary,0,1
9842,9843,Eat Drink Man Woman,1994,13+,7.8,77,Drama,0,1
10004,10005,Hichki,2018,7+,7.5,67,Comedy,0,1
10024,10025,Who Killed Captain Alex?,2010,,8.2,56,Comedy,0,1
10047,10048,Jeff Dunham: Controlled Chaos,2011,,7.5,57,Comedy,0,1
10124,10125,Fifi Howls from Happiness,2013,,7.7,63,Documentary,0,1
10147,10148,Bourek,2016,,7.5,51,Drama,0,1
10165,10166,Wrinkles,2011,,7.6,70,Drama,0,1
10290,10291,Reclaiming the Blade,2009,,8.3,52,Action & Adventure,0,1
10306,10307,Eega,2012,,7.7,61,Action & Adventure,0,1
10369,10370,Control,2003,18+,7.6,75,Comedy,0,1
10378,10379,The Accountant,2001,16+,7.6,51,Comedy,0,1
10421,10422,Phas Gaye Re Obama,2010,13+,7.5,50,Crime,0,1
10426,10427,Shree 420,1955,all,8.0,55,Crime,0,1
10457,10458,Tashi and the Monk,2015,7+,8.0,50,Documentary,0,1
10468,10469,Unmistaken Child,2009,7+,7.5,65,Documentary,0,1
10510,10511,Anand,1971,18+,8.4,67,Drama,0,1
10737,10738,Chalti Ka Naam Gaadi,1958,,8.0,53,Crime,0,1
10819,10820,The Mountain II,2016,all,8.8,73,Drama,0,1
10841,10842,A Room for Romeo Brass,1999,18+,7.6,68,Drama,0,1
10854,10855,Deool,2011,7+,8.2,51,Horror,0,1
10972,10973,Digimon Adventure tri. Part 6: Future,2018,7+,7.5,52,Action & Adventure,0,1
10990,10991,Who Killed Captain Alex?,2010,,8.2,56,Action & Adventure,0,1
11066,11067,Kaala Patthar,1979,all,7.7,56,Crime,0,1
11118,11119,Plastic China,2017,13+,7.7,50,Documentary,0,1
11191,11192,The Hours Till Daylight,2016,,7.6,53,Horror,0,1
11219,11220,Dark Shadows: The Haunting of Collinwood,2009,7+,8.0,54,Horror,0,1
11277,11278,Higher,2014,all,7.7,50,Action & Adventure,0,1
11321,11322,Gol Maal,1979,18+,8.6,63,Comedy,0,1
11539,11540,Vessel,2014,,7.6,51,Action & Adventure,0,1
11545,11546,HIT: The First Case,2020,,7.7,57,Action & Adventure,0,1
11550,11551,Mully,2015,7+,8.1,53,Action & Adventure,0,1
11596,11597,Dying to Survive,2018,,7.9,73,Comedy,0,1
11605,11606,George Carlin: Jammin' in New York,1992,18+,8.7,62,Comedy,0,1
11640,11641,Who Bombed Judi Bari?,2012,,7.9,56,Crime,0,1
11707,11708,Cries from Syria,2017,18+,8.2,68,Drama,0,1
11712,11713,Mondays in the Sun,2002,18+,7.6,71,Drama,0,1
11722,11723,Hum Aapke Hain Koun..!,1994,,7.5,60,Drama,0,1
11816,11817,Kaththi,2014,13+,7.9,56,Action & Adventure,0,1
11892,11893,Carlin at Carnegie,1982,,8.1,50,Comedy,0,1
11915,11916,Loyalty & Respect,2006,,8.6,53,Crime,0,1
11945,11946,Faith Connections,2013,,7.5,50,Documentary,0,1
11951,11952,Go Grandriders,2012,,7.5,59,Documentary,0,1
11987,11988,Dodsworth,1936,,7.8,73,Drama,0,1
12001,12002,The Hiding Place,1975,7+,7.5,54,Drama,0,1
12138,12139,Jim Gaffigan: Quality Time,2019,,7.6,58,Comedy,0,1
12139,12140,Wait for Your Laugh,2017,,8.3,68,Comedy,0,1
12143,12144,Chupke Chupke,1975,18+,8.3,62,Comedy,0,1
12294,12295,Reclaiming the Blade,2009,,8.3,52,Drama,0,1
12296,12297,Masquerade,2012,,7.8,75,Drama,0,1
12339,12340,The Legend of Bhagat Singh,2002,,8.1,61,Action & Adventure,0,1
12379,12380,Anbe Sivam,2003,,8.7,60,Comedy,0,1
12398,12399,Adua and Her Friends,1960,,7.6,56,Comedy,0,1
12432,12433,The Sopranos,1999,18+,9.2,68,Crime,0,1
12439,12440,Sister Helen,2002,,7.7,60,Documentary,0,1
12477,12478,7 Days in Syria,2015,,9.0,56,Documentary,0,1
12494,12495,Eega,2012,,7.7,61,Drama,0,1
12519,12520,Only Old Men Are Going to Battle,1973,all,8.4,57,Drama,0,1
12525,12526,Sacco & Vanzetti,1971,,7.8,65,Drama,0,1
12530,12531,24,2016,,7.8,61,Action & Adventure,0,1
12533,12534,Vada Chennai,2018,,8.5,59,Action & Adventure,0,1
12568,12569,Arjun Reddy,2017,18+,8.1,62,Action & Adventure,0,1
12578,12579,Battles Without Honor and Humanity,1973,,7.5,59,Action & Adventure,0,1
12582,12583,Karwaan,2018,,7.5,70,Comedy,0,1
12619,12620,Jim Gaffigan: Noble Ape,2018,,7.6,71,Comedy,0,1
12691,12692,Call Me Kuchu,2012,,7.6,67,Drama,0,1
12703,12704,The Terrorizers,1986,7+,7.8,59,Drama,0,1
12720,12721,Battles Without Honor and Humanity,1973,,7.5,59,Action & Adventure,0,1
12721,12722,Anbe Sivam,2003,,8.7,60,Action & Adventure,0,1
12735,12736,The Ghazi Attack,2017,7+,7.6,67,Action & Adventure,0,1
12743,12744,Almost Sunrise,2017,13+,7.7,60,Action & Adventure,0,1
12749,12750,Karwaan,2018,,7.5,70,Action & Adventure,0,1
12756,12757,DamNation,2014,,7.6,60,Action & Adventure,0,1
12771,12772,My Sweet Little Village,1985,7+,8.0,59,Comedy,0,1
12793,12794,"You're the Greatest, Charlie Brown",1979,,7.6,50,Comedy,0,1
12864,12865,Technotise: Edit & I,2009,13+,7.5,56,Drama,0,1
12893,12894,Rewind,2019,,8.0,63,Drama,0,1
12916,12917,Bharat Ane Nenu,2018,7+,7.7,70,Action & Adventure,0,1
13062,13063,Christmas in August,1998,,7.6,56,Drama,0,1
13076,13077,The Gospel of John,2003,13+,7.8,64,Drama,0,1
13088,13089,The Dresser,1983,7+,7.6,75,Drama,0,1
13166,13167,Jaane Bhi Do Yaaro,1983,18+,8.4,61,Comedy,0,1
13169,13170,Rocket Singh: Salesman of the Year,2009,13+,7.5,70,Comedy,0,1
13210,13211,Who Bombed Judi Bari?,2012,,7.9,56,Documentary,0,1
13211,13212,Whiteley,2017,,7.7,60,Documentary,0,1
13251,13252,Ethos,2011,,7.5,50,Drama,0,1
13273,13274,Hichki,2018,7+,7.5,67,Drama,0,1
13286,13287,Dirtbag: The Legend of Fred Beckey,2017,,7.7,68,Action & Adventure,0,1
13301,13302,Battles Without Honor and Humanity: Deadly Fight in Hiroshima,1973,,7.6,54,Action & Adventure,0,1
13316,13317,Jallikattu,2019,,7.5,63,Action & Adventure,0,1
13346,13347,Neighbours,1952,,7.9,59,Comedy,0,1
13349,13350,No Time for Sergeants,1958,,7.6,58,Comedy,0,1
13400,13401,Crossing Arizona,2006,,8.0,60,Documentary,0,1
13414,13415,Indestructible,2007,,7.9,58,Documentary,0,1
13521,13522,Ankhon Dekhi,2014,,8.0,58,Comedy,0,1
13637,13638,The Boys of St. Vincent,1992,,7.5,68,Drama,0,1
13662,13663,Awaara,1951,18+,7.9,57,Drama,0,1
13672,13673,Sarkar,2005,7+,7.6,59,Action & Adventure,0,1
13677,13678,Theeran Adhigaaram Ondru,2017,18+,8.2,61,Action & Adventure,0,1
13748,13749,"Liza, the Fox-Fairy",2015,,7.6,60,Comedy,0,1
13759,13760,People of a Feather,2012,,7.8,55,Documentary,0,1
13766,13767,Escape from Firebase Kate,2015,,9.2,51,Documentary,0,1
13797,13798,Pain Warriors,2019,,9.3,50,Documentary,0,1
13831,13832,Control,2003,18+,7.6,75,Drama,0,1
13836,13837,The Accountant,2001,16+,7.6,51,Drama,0,1
13837,13838,The Time to Live and the Time to Die,1985,7+,7.7,71,Drama,0,1
13873,13874,Velaiyilla Pattathari,2014,all,7.8,54,Action & Adventure,0,1
13923,13924,Velaiyilla Pattathari,2014,all,7.8,54,Comedy,0,1
13937,13938,The Cat Came Back,1988,,7.5,52,Comedy,0,1
13981,13982,Hearing Is Believing,2017,all,8.2,54,Documentary,0,1
14012,14013,HIT: The First Case,2020,,7.7,57,Drama,0,1
14059,14060,Don,1978,,7.8,58,Action & Adventure,0,1
14072,14073,Athadu,2005,,8.2,58,Action & Adventure,0,1
14088,14089,Desert Runners,2013,13+,7.6,51,Action & Adventure,0,1
14119,14120,I Am Kalam,2010,all,8.0,67,Comedy,0,1
14128,14129,Athadu,2005,,8.2,58,Comedy,0,1
14188,14189,The Penitent Man,2010,,7.5,50,Drama,0,1
14228,14229,Jigarthanda,2014,13+,8.3,61,Action & Adventure,0,1
14236,14237,Mountain Patrol,2004,13+,7.6,71,Action & Adventure,0,1
14318,14319,Bey Yaar,2014,7+,8.5,53,Comedy,0,1
14376,14377,Kaththi,2014,13+,7.9,56,Drama,0,1
14405,14406,The Scarlet and the Black,1983,7+,7.6,58,Drama,0,1
14407,14408,In a Year with 13 Moons,1978,,7.5,54,Drama,0,1
14418,14419,Macbeth,2010,,7.5,50,Drama,0,1
14482,14483,Ninnu Kori,2017,,7.5,54,Comedy,0,1
14515,14516,Avvai Shanmugi,1996,13+,7.9,50,Comedy,0,1
14577,14578,Love Mocktail,2020,,8.3,55,Drama,0,1
14635,14636,Rangasthalam,2018,13+,8.4,77,Action & Adventure,0,1
14654,14655,Yoddha,1992,,8.4,52,Action & Adventure,0,1
14686,14687,Kanan Gill: Keep It Real,2017,,8.1,51,Comedy,0,1
14708,14709,Yoddha,1992,,8.4,52,Comedy,0,1
14711,14712,For Once in My Life,2010,7+,8.8,50,Documentary,0,1
14855,14856,Chhoti Si Baat,1976,,8.3,57,Comedy,0,1
14890,14891,Zakir Khan : Haq Se Single,2017,,8.6,54,Comedy,0,1
14991,14992,Dying to Survive,2018,,7.9,73,Drama,0,1
14996,14997,Maanagaram,2017,,8.1,55,Action & Adventure,0,1
15012,15013,Roja,1992,,8.2,58,Action & Adventure,0,1
15044,15045,Maanagaram,2017,,8.1,55,Comedy,0,1
15054,15055,Actor in Law,2016,7+,7.6,58,Comedy,0,1
15142,15143,Johnny Gaddaar,2007,,7.8,59,Drama,0,1
15180,15181,The Legend of Bhagat Singh,2002,,8.1,61,Drama,0,1
15271,15272,God of Love,2010,,7.6,53,Comedy,0,1
15280,15281,Summer Pasture,2011,,7.8,56,Documentary,0,1
15343,15344,Vada Chennai,2018,,8.5,59,Drama,0,1
15361,15362,Amar Akbar Anthony,1977,18+,7.5,56,Action & Adventure,0,1
15395,15396,Electra,1962,,7.6,51,Action & Adventure,0,1
