,ID,Title,Year,Rating,IMDb,Rotten Tomatoes,Genre,Netflix,Amazon Prime Video
15417,15418,Amar Akbar Anthony,1977,18+,7.5,56,Comedy,0,1
15441,15442,Joker,2016,,8.4,54,Comedy,0,1
15482,15483,Chupke Chupke,1975,18+,8.3,62,Drama,0,1
15483,15484,Harry & Snowman,2015,,7.6,67,Drama,0,1
15565,15566,Swan Lake,1981,all,7.7,54,Action & Adventure,0,1
15647,15648,Arjun Reddy,2017,18+,8.1,62,Drama,0,1
15667,15668,Battles Without Honor and Humanity,1973,,7.5,59,Drama,0,1
15670,15671,Anbe Sivam,2003,,8.7,60,Drama,0,1
15687,15688,Sethu,1999,,8.1,51,Action & Adventure,0,1
15699,15700,Titli,2015,,7.6,70,Action & Adventure,0,1
15739,15740,Angoor,1982,,8.3,56,Comedy,0,1
15824,15825,Adua and Her Friends,1960,,7.6,56,Drama,0,1
15827,15828,Manorama Six Feet Under,2007,18+,7.6,56,Drama,0,1
15833,15834,Almost Sunrise,2017,13+,7.7,60,Drama,0,1
15844,15845,Karwaan,2018,,7.5,70,Drama,0,1
15847,15848,Witchhammer,1970,,7.9,54,Drama,0,1
15877,15878,Irumbu Thirai,2018,all,7.7,54,Action & Adventure,0,1
15920,15921,Bawarchi,1972,,8.0,55,Comedy,0,1
15922,15923,Biswa Kalyan Rath : Biswa Mast Aadmi,2017,,8.4,54,Comedy,0,1
16080,16081,Trash Dance,2012,,7.5,57,Comedy,0,1
16111,16112,Dust in the Wind,1986,all,7.7,58,Drama,0,1
16129,16130,Bharat Ane Nenu,2018,7+,7.7,70,Drama,0,1
16205,16206,Maachis,1996,all,7.8,51,Action & Adventure,0,1
16329,16330,Goodachari,2018,,7.8,56,Action & Adventure,0,1
16346,16347,The Beckoning Silence,2007,7+,7.5,52,Action & Adventure,0,1
16373,16374,Disorder in the Court,1936,,8.1,55,Comedy,0,1
16404,16405,Amal,2007,,7.5,68,Drama,0,1
16591,16592,Sufna,2020,,8.1,54,Drama,0,1
16688,16689,Excuse my French,2014,,7.7,51,Comedy,0,1
16844,16845,Jaane Bhi Do Yaaro,1983,18+,8.4,61,Drama,0,1
16850,16851,Mahanati,2018,7+,8.5,77,Drama,0,1
16856,16857,Rocket Singh: Salesman of the Year,2009,13+,7.5,70,Drama,0,1
16969,16970,Sammohanam,2018,,7.6,53,Comedy,0,1
16970,16971,Battles Without Honor and Humanity: Deadly Fight in Hiroshima,1973,,7.6,54,Drama,0,1
17001,17002,Jallikattu,2019,,7.5,63,Drama,0,1
17002,17003,Guys Reading Poems,2016,18+,7.6,50,Drama,0,1
17068,17069,Phas Gaye Re Obama,2010,13+,7.5,50,Comedy,0,1
17085,17086,Shree 420,1955,all,8.0,55,Comedy,0,1
17143,17144,Ankhon Dekhi,2014,,8.0,58,Drama,0,1
17158,17159,One Day,2016,,7.7,53,Drama,0,1
17190,17191,Chalti Ka Naam Gaadi,1958,,8.0,53,Action & Adventure,0,1
17271,17272,The King of Masks,1996,,7.7,67,Drama,0,1
17297,17298,Sarkar,2005,7+,7.6,59,Drama,0,1
17355,17356,Chalti Ka Naam Gaadi,1958,,8.0,53,Comedy,0,1
17359,17360,Jagte Raho,1956,,8.3,51,Comedy,0,1
17363,17364,Thillu Mullu,1981,,8.6,50,Comedy,0,1
17385,17386,Steven Banks: Home Entertainment Center,1989,,9.2,51,Comedy,0,1
17489,17490,Kaala Patthar,1979,all,7.7,56,Action & Adventure,0,1
17567,17568,The Man Who Saved the World,2014,,7.6,65,Drama,0,1
17572,17573,A Brand New Life,2009,,7.5,56,Drama,0,1
17610,17611,If so,2003,all,8.1,50,Action & Adventure,0,1
17713,17714,Mourning Son,2015,,8.0,53,Drama,0,1
17752,17753,Go Grandriders,2012,,7.5,59,Action & Adventure,0,1
17848,17849,The System,2018,,7.9,55,Drama,0,1
17919,17920,Mandi,1983,,7.6,50,Comedy,0,1
17976,17977,Virus,2019,,7.9,55,Drama,0,1
18003,18004,I Am Kalam,2010,all,8.0,67,Drama,0,1
18066,18067,Seethamma Vakitlo Sirimalle Chettu,2013,all,7.5,50,Comedy,0,1
18134,18135,Desert Runners,2013,13+,7.6,51,Drama,0,1
18136,18137,Jigarthanda,2014,13+,8.3,61,Drama,0,1
18148,18149,Dosti,1964,,8.4,55,Drama,0,1
18150,18151,Mountain Patrol,2004,13+,7.6,71,Drama,0,1
18314,18315,Loyalty & Respect,2006,,8.6,53,Action & Adventure,0,1
18393,18394,Aruvi,2017,,8.5,61,Drama,0,1
18410,18411,Bey Yaar,2014,7+,8.5,53,Drama,0,1
18564,18565,Bombay,1995,,8.1,58,Drama,0,1
18686,18687,Avvai Shanmugi,1996,13+,7.9,50,Drama,0,1
18855,18856,Rangasthalam,2018,13+,8.4,77,Drama,0,1
18967,18968,Padosan,1968,all,8.1,58,Drama,0,1
18987,18988,Chhoti Si Baat,1976,,8.3,57,Drama,0,1
19000,19001,Swing Kids,2018,16+,7.5,67,Drama,0,1
19008,19009,Vazhakku Enn 18/9,2012,,8.3,52,Drama,0,1
19033,19034,RWBY: Volume 3,2016,13+,8.7,51,Action & Adventure,0,1
19118,19119,Wheels,2014,18+,8.7,65,Drama,0,1
19123,19124,Father of a Soldier,1964,,8.6,58,Drama,0,1
19209,19210,Street Scene,1931,,7.6,65,Drama,0,1
19212,19213,Aradhana,1969,,7.6,50,Drama,0,1
19246,19247,Patterns,1956,,7.7,67,Drama,0,1
19299,19300,Roja,1992,,8.2,58,Drama,0,1
19432,19433,Masoom,1983,,8.4,59,Drama,0,1
19443,19444,Little England,2013,,7.8,58,Drama,0,1
19466,19467,The White Meadows,2009,,7.6,61,Drama,0,1
19475,19476,Amar Akbar Anthony,1977,18+,7.5,56,Drama,0,1
19524,19525,Helen,2019,,7.7,54,Drama,0,1
19526,19527,Joker,2016,,8.4,54,Drama,0,1
19544,19545,Requiem for a Fighter,2018,,8.6,50,Drama,0,1
19573,19574,Electra,1962,,7.6,51,Drama,0,1
19576,19577,Hey Ram,2000,,7.9,58,Drama,0,1
19692,19693,Sethu,1999,,8.1,51,Drama,0,1
19698,19699,Tess of the D'Urbervilles,1998,,7.7,51,Drama,0,1
19716,19717,Titli,2015,,7.6,70,Drama,0,1
19734,19735,Madrasapattinam,2010,,7.8,52,Drama,0,1
19763,19764,Two Acres of Land,1953,,8.4,53,Drama,0,1
19784,19785,Bawarchi,1972,,8.0,55,Drama,0,1
19791,19792,Pinjar,2003,,8.0,53,Drama,0,1
19832,19833,Pyaasa,1957,,8.5,75,Drama,0,1
19916,19917,Halima's Path,2012,,8.1,52,Drama,0,1
19942,19943,Electric Shadows,2004,,7.5,59,Drama,0,1
20035,20036,Joseph,2018,,8.1,55,Drama,0,1
20045,20046,Maachis,1996,all,7.8,51,Drama,0,1
20109,20110,Lunch,2012,,7.5,54,Drama,0,1
20115,20116,The Beckoning Silence,2007,7+,7.5,52,Drama,0,1
20138,20139,Nicky's Family,2011,,8.0,61,Drama,0,1
20142,20143,Deool,2011,7+,8.2,51,Drama,0,1
20253,20254,The Chinese Mayor,2015,,7.7,61,Drama,0,1
20298,20299,Excuse my French,2014,,7.7,51,Drama,0,1
20377,20378,Mullum Malarum,1978,,8.3,51,Drama,0,1
20392,20393,Abhimaan,1973,,7.9,54,Drama,0,1
20436,20437,Yesterday,2004,18+,7.6,58,Drama,0,1
20437,20438,Sammohanam,2018,,7.6,53,Drama,0,1
20439,20440,Phas Gaye Re Obama,2010,13+,7.5,50,Drama,0,1
20483,20484,Shree 420,1955,all,8.0,55,Drama,0,1
20564,20565,The Hours Till Daylight,2016,,7.6,53,Drama,0,1
20671,20672,No Game No Life: Zero,2017,18+,7.5,59,Animation,1,0
20697,20698,Berserk: The Golden Age Arc I - The Egg of the King,2012,18+,7.6,63,Anime,1,0
20698,20699,K-ON! The Movie,2011,16+,7.6,53,Anime,1,0
20721,20722,Budhia Singh: Born to Run,2016,,7.7,67,Biography,1,0
20724,20725,Habibie & Ainun,2012,,7.6,58,Biography,1,0
20732,20733,Harishchandrachi Factory,2009,all,8.4,57,Biography,1,0
20734,20735,Rudy Habibie,2016,,7.5,51,Biography,1,0
20760,20761,Hey Arnold! The Jungle Movie,2017,7+,7.6,75,Comedy,1,0
20778,20779,Armed to the Teeth,2018,,8.1,58,Crime,1,0
20789,20790,Haider,2014,13+,8.1,80,Crime,1,0
20802,20803,Mission Blue,2014,7+,7.9,57,Documentary,1,0
20804,20805,Jeff Dunham: Controlled Chaos,2011,,7.5,57,Documentary,1,0
20822,20823,Bill Hicks: Sane Man,1989,18+,8.4,54,Documentary,1,0
20824,20825,Attacking the Devil: Harold Evans and the Last Nazi War Crime,2014,,8.1,51,Documentary,1,0
20826,20827,The C Word,2016,,7.6,64,Documentary,1,0
20830,20831,Richard Pryor: Live in Concert,1979,18+,8.2,75,Documentary,1,0
20833,20834,Dancing with the Birds,2019,,8.3,55,Documentary,1,0
20837,20838,Prosecuting Evil: The Extraordinary World of Ben Ferencz,2018,,7.5,67,Documentary,1,0
20894,20895,Muramba,2017,7+,8.0,52,Family,1,0
20922,20923,In This Corner of the World,2016,13+,7.8,65,Animation,1,0
20926,20927,Berserk: The Golden Age Arc III - The Advent,2013,18+,7.9,65,Animation,1,0
20940,20941,Monty Python and the Holy Grail,1975,7+,8.2,93,Comedy,1,0
20974,20975,Udta Punjab,2016,18+,7.8,73,Crime,1,0
20979,20980,Ludo,2020,13+,7.6,70,Crime,1,0
20984,20985,A Sun,2019,,7.6,75,Crime,1,0
20985,20986,Delhi Belly,2011,,7.6,73,Crime,1,0
20986,20987,Special 26,2013,,8.0,77,Crime,1,0
21011,21012,Untamed Romania,2018,7+,8.5,54,Documentary,1,0
21026,21027,A Lion in the House,2006,,8.7,70,Documentary,1,0
21028,21029,"Take the Ball, Pass the Ball",2018,,8.0,52,Documentary,1,0
21051,21052,Enter the Dragon,1973,18+,7.7,86,Drama,1,0
21125,21126,Hey Arnold! The Jungle Movie,2017,7+,7.6,75,Animation,1,0
21129,21130,Inuyasha the Movie 3: Swords of an Honorable Ruler,2003,7+,7.7,57,Animation,1,0
21170,21171,Badla,2019,7+,7.8,73,Crime,1,0
21177,21178,Paan Singh Tomar,2012,7+,8.2,65,Crime,1,0
21179,21180,Oye Lucky! Lucky Oye!,2008,13+,7.7,56,Crime,1,0
21198,21199,Bill Hicks: Relentless,1992,,8.7,58,Documentary,1,0
21205,21206,Nazi Concentration Camps,1945,,8.3,55,Documentary,1,0
21207,21208,Emicida: AmarElo - It's All for Yesterday,2020,,8.6,64,Documentary,1,0
21213,21214,Betty White: First Lady of Television,2018,,7.8,53,Documentary,1,0
21222,21223,Fire in the Blood,2013,,7.7,68,Documentary,1,0
21266,21267,No Game No Life: Zero,2017,18+,7.5,59,Action & Adventure,1,0
21295,21296,Inuyasha the Movie 2: The Castle Beyond the Looking Glass,2002,7+,7.5,57,Animation,1,0
21302,21303,Ne Zha,2019,,7.5,64,Animation,1,0
21349,21350,Black Friday,2004,18+,8.5,80,Crime,1,0
21359,21360,Manorama Six Feet Under,2007,18+,7.6,56,Crime,1,0
21370,21371,Agneepath,1990,,7.7,63,Crime,1,0
21395,21396,"Best Wishes, Warmest Regards: A Schitt's Creek Farewell",2020,,8.7,57,Documentary,1,0
21409,21410,A Secret Love,2020,18+,7.9,80,Drama,1,0
21440,21441,Casino Royale,2006,13+,8.0,93,Action & Adventure,1,0
21476,21477,Berserk: The Golden Age Arc I - The Egg of the King,2012,18+,7.6,63,Animation,1,0
21479,21480,Berserk: The Golden Age Arc II - The Battle for Doldrey,2012,18+,7.8,64,Animation,1,0
21482,21483,I Lost My Body,2019,18+,7.6,80,Animation,1,0
21483,21484,K-ON! The Movie,2011,16+,7.6,53,Animation,1,0
21502,21503,Rang De Basanti,2006,13+,8.2,67,Comedy,1,0
21518,21519,Why Me?,2015,,7.5,53,Crime,1,0
21533,21534,U Turn,2016,18+,7.5,56,Crime,1,0
21550,21551,Steal a Pencil for Me,2007,,7.5,62,Documentary,1,0
21561,21562,City of Joy,2016,,7.5,61,Documentary,1,0
21595,21596,Like Stars on Earth,2007,7+,8.4,86,Drama,1,0
21607,21608,Berserk: The Golden Age Arc III - The Advent,2013,18+,7.9,65,Action & Adventure,1,0
21638,21639,Room on the Broom,2012,,7.6,60,Animation,1,0
21642,21643,Walt Disney Animation Studios Short Films Collection,2015,all,7.7,53,Animation,1,0
21698,21699,City of Joy,2016,,7.5,61,Crime,1,0
21732,21733,Kevin James: Sweat the Small Stuff,2001,7+,7.5,50,Documentary,1,0
21774,21775,A Twelve-Year Night,2018,18+,7.6,75,Drama,1,0
21790,21791,Total Recall,1990,16+,7.5,86,Action & Adventure,1,0
21851,21852,Kuch Kuch Hota Hai,1998,all,7.6,67,Comedy,1,0
21863,21864,Louis C.K.: Live at The Comedy Store,2015,,7.9,62,Comedy,1,0
21869,21870,Dave Chappelle: Sticks & Stones,2019,18+,8.5,77,Comedy,1,0
21909,21910,Rubaru Roshni,2019,,8.9,52,Documentary,1,0
21933,21934,Rang De Basanti,2006,13+,8.2,67,Drama,1,0
21939,21940,Dick Johnson Is Dead,2020,13+,7.5,64,Drama,1,0
22025,22026,K-ON! The Movie,2011,16+,7.6,53,Comedy,1,0
22028,22029,Adam Sandler: 100% Fresh,2018,18+,7.6,75,Comedy,1,0
22029,22030,100 Meters,2016,,7.6,60,Comedy,1,0
22065,22066,Tell Me Who I Am,2019,18+,7.6,80,Drama,1,0
22117,22118,Stardust,2007,13+,7.6,86,Action & Adventure,1,0
22125,22126,Hey Arnold! The Jungle Movie,2017,7+,7.6,75,Action & Adventure,1,0
22172,22173,Andaz Apna Apna,1994,7+,8.2,67,Comedy,1,0
22175,22176,Ali Wong: Baby Cobra,2016,,7.5,58,Comedy,1,0
22179,22180,Room on the Broom,2012,,7.6,60,Comedy,1,0
22188,22189,White Christmas,1954,,7.6,80,Comedy,1,0
22230,22231,Inuyasha the Movie 3: Swords of an Honorable Ruler,2003,7+,7.7,57,Action & Adventure,1,0
22233,22234,Monty Python and the Holy Grail,1975,7+,8.2,93,Action & Adventure,1,0
22239,22240,Enter the Dragon,1973,18+,7.7,86,Action & Adventure,1,0
22241,22242,Inuyasha the Movie 2: The Castle Beyond the Looking Glass,2002,7+,7.5,57,Action & Adventure,1,0
22254,22255,Ne Zha,2019,,7.5,64,Action & Adventure,1,0
22293,22294,Ricky Gervais: Humanity,2018,18+,8.0,73,Comedy,1,0
22297,22298,The Death of Mr. Lazarescu,2005,18+,7.9,77,Comedy,1,0
22303,22304,Hasan Minhaj: Homecoming King,2017,18+,8.3,65,Comedy,1,0
22304,22305,Kapoor & Sons,2016,13+,7.7,77,Comedy,1,0
22310,22311,Jim Jefferies: Freedumb,2016,18+,7.8,57,Comedy,1,0
22333,22334,The 36th Chamber of Shaolin,1978,18+,7.7,65,Drama,1,0
22352,22353,I Lost My Body,2019,18+,7.6,80,Drama,1,0
22394,22395,Jim Gaffigan: Mr. Universe,2012,,7.8,61,Comedy,1,0
22399,22400,Dave Chappelle: Equanimity,2017,,8.2,51,Comedy,1,0
22408,22409,Bill Burr: You People Are All The Same,2012,18+,8.3,65,Comedy,1,0
22415,22416,Louis C.K.: Hilarious,2010,,8.5,67,Comedy,1,0
22416,22417,John Mulaney: The Comeback Kid,2015,,8.0,65,Comedy,1,0
22422,22423,John Mulaney: New in Town,2012,18+,8.3,68,Comedy,1,0
22426,22427,Neal Brennan: 3 Mics,2017,,7.9,58,Comedy,1,0
22433,22434,100 Meters,2016,,7.6,60,Drama,1,0
22447,22448,Tarung Sarung,2020,,7.7,53,Drama,1,0
22503,22504,Ludo,2020,13+,7.6,70,Comedy,1,0
22508,22509,Mike Birbiglia: Thank God for Jokes,2017,,7.5,56,Comedy,1,0
22509,22510,Dil Chahta Hai,2001,all,8.1,67,Comedy,1,0
22510,22511,Tom Segura: Disgraceful,2018,13+,7.6,73,Comedy,1,0
22511,22512,Monty Python Live at the Hollywood Bowl,1982,18+,7.9,64,Comedy,1,0
22513,22514,Jaane Tu... Ya Jaane Na,2008,,7.5,59,Comedy,1,0
22514,22515,John Mulaney & The Sack Lunch Bunch,2019,,7.5,62,Comedy,1,0
22516,22517,Mike Birbiglia: My Girlfriend's Boyfriend,2013,,8.0,55,Comedy,1,0
22519,22520,Bo Burnham: What.,2013,18+,8.5,62,Comedy,1,0
22524,22525,Delhi Belly,2011,,7.6,73,Comedy,1,0
22549,22550,Haider,2014,13+,8.1,80,Drama,1,0
22550,22551,System Crasher,2019,,7.8,67,Drama,1,0
22559,22560,Happy as Lazzaro,2018,13+,7.5,77,Drama,1,0
22577,22578,Berserk: The Golden Age Arc I - The Egg of the King,2012,18+,7.6,63,Action & Adventure,1,0
22597,22598,Berserk: The Golden Age Arc II - The Battle for Doldrey,2012,18+,7.8,64,Action & Adventure,1,0
22599,22600,The 36th Chamber of Shaolin,1978,18+,7.7,65,Action & Adventure,1,0
22605,22606,Wake Up Sid,2009,7+,7.6,60,Comedy,1,0
22624,22625,Jim Gaffigan: Beyond the Pale,2006,16+,7.9,60,Comedy,1,0
22635,22636,Jeff Dunham: Jeff Dunham's Very Special Christmas Special,2008,13+,7.5,59,Comedy,1,0
22652,22653,The Death of Mr. Lazarescu,2005,18+,7.9,77,Drama,1,0
22657,22658,Kapoor & Sons,2016,13+,7.7,77,Drama,1,0
22673,22674,Secret,2007,,7.5,60,Drama,1,0
22685,22686,Tarung Sarung,2020,,7.7,53,Action & Adventure,1,0
22698,22699,Andaz Apna Apna,1994,7+,8.2,67,Action & Adventure,1,0
22699,22700,Haider,2014,13+,8.1,80,Action & Adventure,1,0
22719,22720,Gabriel Iglesias: I'm Sorry for What I Said When I Was Hungry,2016,,7.5,50,Comedy,1,0
22724,22725,The Distinguished Citizen,2016,,7.5,77,Comedy,1,0
22728,22729,Jim Gaffigan: King Baby,2009,7+,7.8,58,Comedy,1,0
22730,22731,OMG: Oh My God!,2012,all,8.1,67,Comedy,1,0
22734,22735,Mike Birbiglia: What I Should Have Said Was Nothing,2008,,7.6,52,Comedy,1,0
22736,22737,Aziz Ansari: Right Now,2019,,7.8,56,Comedy,1,0
22739,22740,Jeff Dunham: Arguing with Myself,2006,13+,8.0,58,Comedy,1,0
22741,22742,Eddie Murphy: Delirious,1983,18+,8.2,68,Comedy,1,0
22759,22760,Udta Punjab,2016,18+,7.8,73,Drama,1,0
22785,22786,Walt Disney Animation Studios Short Films Collection,2015,all,7.7,53,Action & Adventure,1,0
22797,22798,Udta Punjab,2016,18+,7.8,73,Action & Adventure,1,0
22808,22809,Ludo,2020,13+,7.6,70,Action & Adventure,1,0
22823,22824,Donald Glover: Weirdo,2012,,7.5,58,Comedy,1,0
22825,22826,Tom Segura: Mostly Stories,2016,,7.6,59,Comedy,1,0
22827,22828,Hum Aapke Hain Koun..!,1994,,7.5,60,Comedy,1,0
22829,22830,Monty Python Live (Mostly),2014,18+,7.7,54,Comedy,1,0
22830,22831,Tom Segura: Completely Normal,2014,,7.8,55,Comedy,1,0
22836,22837,Bert Kreischer: The Machine,2016,18+,7.7,52,Comedy,1,0
22840,22841,Jim Gaffigan: Obsessed,2014,16+,7.6,59,Comedy,1,0
22841,22842,Seth Meyers: Lobby Baby,2019,18+,7.5,58,Comedy,1,0
22857,22858,Dil Chahta Hai,2001,all,8.1,67,Drama,1,0
22861,22862,Jaane Tu... Ya Jaane Na,2008,,7.5,59,Drama,1,0
22863,22864,Mike Birbiglia: My Girlfriend's Boyfriend,2013,,8.0,55,Drama,1,0
22872,22873,A Sun,2019,,7.6,75,Drama,1,0
22873,22874,Delhi Belly,2011,,7.6,73,Drama,1,0
22875,22876,Special 26,2013,,8.0,77,Drama,1,0
22878,22879,Wake Up Sid,2009,7+,7.6,60,Drama,1,0
22888,22889,Marco Polo: One Hundred Eyes,2015,,7.8,61,Drama,1,0
22896,22897,Mersal,2017,,7.6,56,Action & Adventure,1,0
22897,22898,Delhi Belly,2011,,7.6,73,Action & Adventure,1,0
22904,22905,Marco Polo: One Hundred Eyes,2015,,7.8,61,Action & Adventure,1,0
22928,22929,Joe Rogan: Triggered,2016,,7.5,56,Comedy,1,0
22931,22932,Bareilly's Barfi,2017,,7.5,71,Comedy,1,0
22933,22934,Bill Hicks: Revelations,1993,,8.6,57,Comedy,1,0
22944,22945,Trailer Park Boys: Say Goodnight to the Bad Guys,2008,,7.9,53,Comedy,1,0
22950,22951,Oye Lucky! Lucky Oye!,2008,13+,7.7,56,Comedy,1,0
22962,22963,Monty Python: The Meaning of Live,2014,,7.6,50,Comedy,1,0
22967,22968,Dil Se..,1998,13+,7.6,62,Drama,1,0
23003,23004,The Distinguished Citizen,2016,,7.5,77,Drama,1,0
23015,23016,Highway,2014,13+,7.6,63,Action & Adventure,1,0
23017,23018,Paan Singh Tomar,2012,7+,8.2,65,Action & Adventure,1,0
23020,23021,Oye Lucky! Lucky Oye!,2008,13+,7.7,56,Action & Adventure,1,0
23037,23038,Katt Williams: The Pimp Chronicles Pt. 1,2006,18+,7.7,57,Comedy,1,0
23038,23039,Judah Friedlander: America Is the Greatest Country in the United States,2017,18+,7.8,55,Comedy,1,0
23043,23044,Jerry Seinfeld: I'm Telling You for the Last Time,1998,all,7.9,61,Comedy,1,0
23053,23054,Jeff Dunham: Controlled Chaos,2011,,7.5,57,Comedy,1,0
23079,23080,Guru,2007,13+,7.7,75,Drama,1,0
23080,23081,OMG: Oh My God!,2012,all,8.1,67,Drama,1,0
23093,23094,Udaan,2010,18+,8.2,65,Drama,1,0
23098,23099,Hum Aapke Hain Koun..!,1994,,7.5,60,Drama,1,0
23102,23103,Badla,2019,7+,7.8,73,Drama,1,0
23111,23112,Madras Cafe,2013,13+,7.7,60,Action & Adventure,1,0
23112,23113,Lakshya,2004,all,7.9,62,Action & Adventure,1,0
23116,23117,Black Friday,2004,18+,8.5,80,Action & Adventure,1,0
23134,23135,The Legend of Bhagat Singh,2002,,8.1,61,Action & Adventure,1,0
23151,23152,The Trailer Park Boys Xmas Special,2004,,8.0,56,Comedy,1,0
23155,23156,Dev.D,2009,13+,8.0,62,Comedy,1,0
23194,23195,Highway,2014,13+,7.6,63,Drama,1,0
23202,23203,Oye Lucky! Lucky Oye!,2008,13+,7.7,56,Drama,1,0
23203,23204,Rock On!!,2008,,7.7,61,Drama,1,0
23214,23215,Aamir,2008,18+,7.7,58,Action & Adventure,1,0
23237,23238,Angamaly Diaries,2017,,8.0,55,Action & Adventure,1,0
23244,23245,Richard Pryor: Live in Concert,1979,18+,8.2,75,Comedy,1,0
23264,23265,Sudani from Nigeria,2018,,8.2,53,Comedy,1,0
23300,23301,Mission Blue,2014,7+,7.9,57,Drama,1,0
23310,23311,The Butterfly's Dream,2013,13+,7.8,65,Drama,1,0
23315,23316,Madras Cafe,2013,13+,7.7,60,Drama,1,0
23321,23322,Agneepath,1990,,7.7,63,Action & Adventure,1,0
23352,23353,Rhys Nicholson: Live at the Athenaeum,2020,,7.6,50,Comedy,1,0
23357,23358,Hannah Gadsby: Douglas,2020,18+,7.8,73,Comedy,1,0
23362,23363,Sebastian Maniscalco: What's Wrong with People?,2012,16+,8.1,51,Comedy,1,0
23388,23389,Lakshya,2004,all,7.9,62,Drama,1,0
23394,23395,Black Friday,2004,18+,8.5,80,Drama,1,0
23398,23399,Dev.D,2009,13+,8.0,62,Drama,1,0
23419,23420,Uyare,2019,,8.0,56,Drama,1,0
23429,23430,Bhavesh Joshi Superhero,2018,,7.6,64,Action & Adventure,1,0
23430,23431,Heneral Luna,2015,18+,7.5,71,Action & Adventure,1,0
23431,23432,Awe!,2018,,7.8,61,Action & Adventure,1,0
23482,23483,1000 Mabrouk,2009,,7.5,55,Comedy,1,0
23495,23496,Angamaly Diaries,2017,,8.0,55,Comedy,1,0
23496,23497,Tim Minchin and the Heritage Orchestra: Live at the Royal Albert Hall,2011,,8.5,51,Comedy,1,0
23500,23501,Ankhon Dekhi,2014,,8.0,58,Comedy,1,0
23505,23506,Sir,2018,,7.6,62,Drama,1,0
23518,23519,The Legend of Bhagat Singh,2002,,8.1,61,Drama,1,0
23544,23545,Love You to the Stars and Back,2017,,7.5,50,Action & Adventure,1,0
23576,23577,Monty Python: Parrot Sketch Not Included,1989,,8.2,52,Comedy,1,0
23591,23592,Kannum Kannum Kollaiyadithaal,2020,,7.7,54,Comedy,1,0
23597,23598,Kabhi Haan Kabhi Naa,1994,all,7.8,60,Comedy,1,0
23607,23608,I Am Kalam,2010,all,8.0,67,Comedy,1,0
23617,23618,Manorama Six Feet Under,2007,18+,7.6,56,Drama,1,0
23628,23629,Aamir,2008,18+,7.7,58,Drama,1,0
23699,23700,Njan Prakashan,2018,all,7.6,50,Comedy,1,0
23741,23742,1000 Mabrouk,2009,,7.5,55,Drama,1,0
23760,23761,Ankhon Dekhi,2014,,8.0,58,Drama,1,0
23763,23764,One Day,2016,,7.7,53,Drama,1,0
23793,23794,The Book of Sun,2020,,7.9,58,Comedy,1,0
23805,23806,The Blue Umbrella,2005,,7.5,52,Comedy,1,0
23808,23809,Miracle in Cell No. 7,2019,all,7.5,56,Comedy,1,0
23838,23839,Agneepath,1990,,7.7,63,Drama,1,0
23843,23844,Kannum Kannum Kollaiyadithaal,2020,,7.7,54,Drama,1,0
23846,23847,The Sky Is Pink,2019,,7.6,73,Drama,1,0
23851,23852,Kabhi Haan Kabhi Naa,1994,all,7.8,60,Drama,1,0
23853,23854,Why Me?,2015,,7.5,53,Drama,1,0
23857,23858,The Blue Elephant Part 2,2019,,8.2,61,Drama,1,0
23863,23864,Heneral Luna,2015,18+,7.5,71,Comedy,1,0
23876,23877,That Thing Called Tadhana,2014,7+,7.5,53,Comedy,1,0
23895,23896,Mumbai Meri Jaan,2008,13+,7.7,52,Drama,1,0
23903,23904,I Am Kalam,2010,all,8.0,67,Drama,1,0
23930,23931,Njan Prakashan,2018,all,7.6,50,Drama,1,0
23947,23948,Thithi,2015,,8.2,51,Comedy,1,0
23972,23973,You Are My Sunday,2016,,7.7,68,Comedy,1,0
23998,23999,Budhia Singh: Born to Run,2016,,7.7,67,Drama,1,0
24001,24002,The Book of Sun,2020,,7.9,58,Drama,1,0
24007,24008,The Gospel of John,2014,,7.7,51,Drama,1,0
24011,24012,Kevin James: Sweat the Small Stuff,2001,7+,7.5,50,Comedy,1,0
24013,24014,Ari Eldjárn: Pardon My Icelandic,2020,18+,7.9,56,Comedy,1,0
24022,24023,West Beirut,1998,13+,7.7,58,Comedy,1,0
24039,24040,Habibie & Ainun,2012,,7.6,58,Drama,1,0
24048,24049,The Blue Umbrella,2005,,7.5,52,Drama,1,0
24052,24053,Miracle in Cell No. 7,2019,all,7.5,56,Drama,1,0
24071,24072,Bhavesh Joshi Superhero,2018,,7.6,64,Drama,1,0
24072,24073,Heneral Luna,2015,18+,7.5,71,Drama,1,0
24077,24078,Awe!,2018,,7.8,61,Drama,1,0
24085,24086,Love You to the Stars and Back,2017,,7.5,50,Comedy,1,0
24089,24090,Uma Maheswara Ugra Roopasya,2020,,7.9,53,Comedy,1,0
24125,24126,That Thing Called Tadhana,2014,7+,7.5,53,Drama,1,0
24146,24147,Merku Thodarchi Malai,2018,,8.6,55,Drama,1,0
24154,24155,Do Dooni Chaar,2010,7+,7.6,55,Comedy,1,0
24160,24161,Harishchandrachi Factory,2009,all,8.4,57,Comedy,1,0
24194,24195,City of Joy,2016,,7.5,61,Drama,1,0
24201,24202,Thithi,2015,,8.2,51,Drama,1,0
24220,24221,You Are My Sunday,2016,,7.7,68,Drama,1,0
24221,24222,K. D.,2019,,8.6,53,Drama,1,0
24234,24235,Love Ni Bhavai,2017,,8.4,55,Comedy,1,0
24244,24245,Muramba,2017,7+,8.0,52,Comedy,1,0
